Row Labels,Sum of Sighting
AB,1
AGU,1
AL,530
AR,218
AZ,289
BC,7
BCS,1
CA,2279
CHH,1
CMX,1
CO,191
COA,11
CT,897
DC,46
DE,82
FL,1874
GA,995
GUA,13
HI,129
IA,382
ID,90
IL,1414
IN,1011
JAL,1
KS,747
KY,141
LA,384
MA,694
MB,39
MD,570
ME,618
MI,1574
MN,2164
MO,869
MS,152
MT,10
NB,128
NC,592
ND,29
NE,325
NH,392
NJ,545
NLE,10
NM,142
NS,258
NV,44
NY,1681
OH,1128
OK,2031
ON,3702
OR,124
PA,932
PE,4
PR,122
QC,248
RI,193
SC,312
SD,37
SIN,2
St Croix,9
TAM,12
TN,283
TX,5535
UT,393
VA,708
VT,216
WA,152
WI,1125
WV,120
WY,16
Grand Total,39976
